Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
Lloyds,DIVIDEND,2025-09-09T17:01:00.000Z,GBP,0.24,,LLOY,GB0008706128,,,20.00000000,,,,GBP,,,,,,,2025-07-31,2025-09-09,20.00000000,0.01220000,,,0,0.00,,,,,,,,,,,,,,,
Unilever,ORDER,2025-09-09T12:18:53.573Z,GBP,46.48,SELL,ULVR,GB00B10RZP78,46.48000000,0.00,1.00000000,London Stock Exchange,SOIY93B14HNB,STOP,GBP,46.48,46.48000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Nvidia,ORDER,2025-08-26T15:19:40.366Z,GBP,44.93,BUY,NVDA,US67066G1040,134.48377423,0.00,0.33215903,Drivewealth,TH3FKII3BPZW,MARKET,USD,60.23,181.32880000,1.34052655,1.34848260,59,0.26,,,,,,,,,,,,,,,,,,,,,,,
Vodafone,ORDER,2025-08-26T15:05:35.707Z,GBP,27.35,SELL,VOD,GB00BH4HKS39,0.88225806,0.00,31.00000000,London Stock Exchange,PXFRVC2HHSSF,MARKET,GBP,27.35,0.88225806,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Rolls-Royce,ORDER,2025-08-20T07:33:17.492Z,GBP,31.51,BUY,RR.,GB00B63H8491,10.45000000,0.16,3.00000000,London Stock Exchange,4KE2F7K3288M,BASIC,GBP,31.35,10.45000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Palantir,ORDER,2025-08-19T17:46:01.203Z,GBP,9.98,BUY,PLTR,US69608A1088,117.95748061,0.00,0.08409810,Drivewealth,6Q5A3L7S5GFZ,MARKET,USD,13.39,159.21880000,1.34119300,1.34915300,59,0.06,,,,,,,,,,,,,,,,,,,,,,,
Nvidia,ORDER,2025-08-19T17:45:34.464Z,GBP,19.97,BUY,NVDA,US67066G1040,131.10695884,0.00,0.15140310,Drivewealth,OWBZ3M900SPK,MARKET,USD,26.78,176.87880000,1.34119300,1.34915300,59,0.12,,,,,,,,,,,,,,,,,,,,,,,
Verizon,ORDER,2025-08-19T17:44:19.044Z,GBP,66.84,SELL,VZ,US92343V1044,33.25923821,0.00,2.02169393,Multiple,5RH7OQSBGVZ5,MARKET,USD,90.75,44.89120000,1.35757873,1.34961600,59,0.40,,,,,,,,,,,,,,,,,,,,,,,
Games Workshop,DIVIDEND,2025-08-15T15:31:00.000Z,GBP,1.70,,GAW,GB0003718474,,,2.00000000,,,,GBP,,,,,,,2025-07-10,2025-08-15,2.00000000,0.85000000,,,0,0.00,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-08-15T00:00:00.000Z,GBP,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal & General,ORDER,2025-08-08T08:59:17.082Z,GBP,5.14,BUY,LGEN,GB0005603997,2.55500000,0.03,2.00000000,London Stock Exchange,SB1PABSANTBL,MARKET,GBP,5.11,2.55500000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Verizon,ORDER,2025-08-06T14:25:26.327Z,GBP,64.90,BUY,VZ,US92343V1044,31.91383178,0.00,2.02169393,Multiple,5SCYPH99TQG1,MARKET,USD,85.96,42.51880000,1.32452493,1.33238601,59,0.38,,,,,,,,,,,,,,,,,,,,,,,
Vodafone,ORDER,2025-08-06T09:06:44.222Z,GBP,59.58,BUY,VOD,GB00BH4HKS39,0.83492958,0.30,71.00000000,London Stock Exchange,0N5O1DTNFUCM,MARKET,GBP,59.28,0.83492958,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Barclays,ORDER,2025-08-06T08:43:11.415Z,GBP,3.65,BUY,BARC,GB0031348658,3.63000000,0.02,1.00000000,London Stock Exchange,FA112IZOXZIU,MARKET,GBP,3.63,3.63000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BP,ORDER,2025-08-06T08:41:13.882Z,GBP,4.25,BUY,BP.,GB0007980591,4.23000000,0.02,1.00000000,London Stock Exchange,EU8B1WKSN511,MARKET,GBP,4.23,4.23000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
AstraZeneca,ORDER,2025-08-06T08:35:18.709Z,GBP,111.68,SELL,AZN,GB0009895292,111.68000000,0.00,1.00000000,London Stock Exchange,8ZC25WOU3Q5X,MARKET,GBP,111.68,111.68000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Shell,ORDER,2025-08-06T08:33:08.743Z,GBP,27.32,SELL,SHEL,GB00BP6MXD84,27.32000000,0.00,1.00000000,London Stock Exchange,0WLBANALNUR1,MARKET,GBP,27.32,27.32000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Serco Group,ORDER,2025-08-06T08:31:12.556Z,GBP,4.17,SELL,SRP,GB0007973794,2.08500000,0.00,2.00000000,London Stock Exchange,32OCEWIWZTOB,MARKET,GBP,4.17,2.08500000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Sirius Real Estate,ORDER,2025-08-06T08:29:24.708Z,GBP,5.32,SELL,SRE,GG00B1W3VF54,1.06400000,0.00,5.00000000,London Stock Exchange,PQ7N7WQDZ3BQ,MARKET,GBP,5.32,1.06400000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
